Time(s),Position1,Current1,Position2,Current2
0.087,2766,-12,2118,-10
0.183,2664,-9,2118,-10
0.279,2568,-12,2118,-9
0.375,2471,-10,2117,-10
0.471,2379,-9,2118,-9
0.567,2292,-9,2118,-9
0.663,2209,-8,2117,-9
0.759,2147,-9,2113,-9
0.855,2146,-10,2101,-8
0.951,2147,-5,2091,-10
1.063,2150,1,2077,-10
1.175,2157,9,2064,-9
1.271,2169,4,2056,-10
1.383,2178,8,2049,-8
1.479,2189,9,2045,-8
1.575,2199,10,2042,-9
1.671,2208,10,2041,-10
1.783,2221,9,2041,-9
1.879,2227,8,2040,-9
1.975,2240,9,2039,-9
2.071,2246,9,2039,-10
2.183,2262,1,2039,-10
2.279,2264,10,2039,-9
2.375,2280,1,2038,-9
2.471,2287,10,2039,-10
2.567,2299,6,2039,-10
2.663,2306,10,2038,-10
2.759,2320,10,2038,-10
2.855,2326,9,2039,-9
2.951,2338,2,2039,-9
3.063,2346,7,2038,-10
3.159,2357,8,2038,-9
3.255,2366,9,2038,-10
3.351,2378,3,2038,-10
3.447,2386,9,2038,-9
3.543,2398,9,2038,-10
3.639,2404,9,2038,-10
3.735,2418,11,2038,-9
3.847,2425,10,2038,-9
3.943,2437,4,2038,-9
4.039,2446,8,2038,-9
4.135,2456,12,2038,-9
4.231,2466,8,2038,-9
4.343,2477,10,2038,-9
4.439,2484,9,2038,-9
4.535,2498,9,2038,-9
4.631,2504,9,2038,-9
4.743,2521,1,2038,-9
4.839,2522,9,2038,-9
4.935,2538,6,2038,-9
5.031,2545,9,2038,-10
5.127,2557,9,2038,-11
5.223,2564,9,2038,-9
5.319,2577,9,2038,-10
5.415,2584,9,2038,-9
5.511,2597,1,2038,-11
5.607,2604,8,2038,-9
5.703,2616,9,2038,-9
5.799,2624,9,2038,-9
5.895,2636,2,2038,-8
5.991,2644,9,2038,-8
6.087,2657,12,2038,-8
6.183,2661,10,2038,-8
6.279,2676,1,2038,-9
6.375,2683,9,2038,-9
6.471,2696,2,2038,-11
6.567,2703,9,2038,-9
6.663,2717,3,2038,-9
6.776,2721,8,2038,-9
6.887,2738,2,2038,-10
6.983,2740,9,2038,-9
7.079,2755,1,2038,-10
7.175,2763,8,2038,-9
7.271,2775,3,2038,-9
7.367,2780,9,2038,-9
7.463,2796,2,2038,-9
7.559,2803,10,2038,-9
7.671,2818,-16,2038,-10
7.783,2819,9,2038,-9
7.895,2838,1,2038,-9
7.991,2839,9,2038,-10
8.087,2854,2,2038,-9
8.199,2861,10,2038,-10
8.311,2874,8,2038,-10
8.407,2880,10,2038,-9
8.503,2894,1,2038,-8
8.599,2902,9,2038,-9
8.695,2913,7,2038,-10
8.791,2920,9,2038,-10
8.887,2934,6,2038,-9
8.983,2940,9,2038,-9
9.079,2953,7,2038,-9
9.175,2960,9,2038,-9
9.271,2972,1,2038,-10
9.367,2979,9,2038,-9
9.463,2993,4,2038,-9
9.559,3001,9,2038,-9
9.655,3015,10,2038,-9
9.751,3019,8,2038,-10
9.847,3034,3,2038,-10
