Time(s),Position1,Current1,Position2,Current2
0.087,2051,0,2042,8,0
0.183,2058,-2,2033,0,0
0.279,2070,-3,2024,-1,0
0.375,2080,0,2013,-11,0
0.471,2090,0,2004,-13,0
0.567,2100,-5,1994,-8,0
0.663,2110,0,1984,-8,0
0.759,2120,0,1974,-7,0
0.855,2130,-5,1964,-7,0
0.951,2140,-2,1955,-8,0
1.047,2150,-1,1944,-8,0
1.143,2159,-4,1935,-9,0
1.239,2169,-4,1925,-8,0
1.335,2179,-5,1915,-7,0
1.431,2190,-5,1906,-15,0
1.527,2199,-5,1895,-5,0
1.623,2209,-4,1885,-5,0
1.719,2219,-4,1875,-14,0
1.815,2229,-5,1865,-5,0
1.911,2239,-5,1854,-9,0
2.007,2248,-5,1845,-13,0
2.103,2259,-6,1836,-3,0
2.199,2267,-5,1826,-5,0
2.295,2278,-4,1815,-4,0
2.391,2288,-5,1805,-13,0
2.487,2298,-6,1796,-5,0
2.583,2308,-6,1786,-10,0
2.679,2318,-5,1776,-6,0
2.775,2328,-4,1766,-11,0
2.871,2337,-5,1755,2,0
2.967,2348,-4,1746,-5,0
3.063,2357,-5,1736,-4,0
3.159,2367,-5,1726,-5,0
3.255,2377,-5,1717,0,0
3.351,2387,-6,1707,-11,0
3.447,2397,-2,1696,-12,0
3.543,2407,-6,1686,-1,0
3.639,2417,-4,1676,0,0
3.735,2427,-4,1666,-4,0
3.831,2436,-9,1656,-11,0
3.927,2445,-6,1647,1,0
4.023,2456,-4,1638,-10,0
4.119,2466,-4,1627,-1,0
4.215,2476,-5,1617,-10,0
4.311,2486,-5,1607,-5,0
4.407,2496,-4,1597,-4,0
4.503,2506,-5,1587,-11,0
4.599,2515,-6,1577,-9,0
4.695,2525,-5,1567,2,0
4.791,2536,-6,1557,-11,0
4.887,2546,-5,1548,-1,0
4.983,2555,-2,1538,-11,0
5.079,2565,-5,1528,-11,0
5.175,2575,-5,1518,-2,0
5.271,2586,-7,1509,-2,0
5.367,2596,-3,1498,-10,0
5.463,2605,-2,1488,-1,0
5.559,2615,-7,1478,-2,0
5.655,2625,-4,1468,-3,0
5.751,2635,-4,1459,-7,0
5.847,2645,-3,1449,1,0
5.943,2655,-5,1440,-10,0
6.039,2664,-5,1429,-1,0
6.135,2674,-3,1419,-1,0
6.231,2684,-6,1410,-10,0
6.327,2694,-3,1399,-10,0
6.423,2704,-3,1389,-11,0
6.519,2712,-7,1379,-12,0
6.615,2724,-6,1369,-3,0
6.711,2733,-6,1359,-6,0
6.807,2743,-2,1350,-11,0
6.903,2753,-4,1340,-11,0
6.999,2763,-3,1331,0,0
7.095,2774,-4,1321,-1,0
7.191,2783,-6,1310,0,0
7.287,2793,-5,1301,1,0
7.383,2804,-4,1290,-1,0
7.479,2813,-5,1280,-11,0
7.575,2823,-6,1270,-4,0
7.671,2834,-3,1261,-11,0
7.767,2843,-1,1251,-2,0
7.863,2853,-2,1242,-9,0
7.959,2862,-6,1231,-10,0
8.055,2872,-3,1222,-11,0
8.151,2882,-5,1211,-9,0
8.247,2892,-5,1202,-4,0
8.343,2903,-5,1192,-4,0
8.439,2912,-4,1182,-6,0
8.535,2922,-6,1171,-9,0
8.631,2932,-6,1161,-11,0
8.727,2942,-1,1152,-12,0
8.823,2951,-4,1143,-11,0
8.919,2961,-4,1133,-10,0
9.015,2971,-3,1123,-11,0
9.111,2982,-5,1113,-10,0
9.207,2991,-5,1103,-12,0
9.303,3001,-6,1093,-7,0
9.399,3011,-5,1083,-12,0
9.495,3021,-3,1072,-9,0
9.591,3032,-4,1063,-6,0
