Time(s),Position1,Current1,Position2,Current2
0.087,2062,0,1068,-1
0.184,2062,0,1067,-1
0.295,2062,0,1067,-1
0.391,2062,0,1067,-1
0.487,2062,0,1067,-1
0.583,2062,0,1067,-1
0.679,2062,0,1067,-1
0.775,2062,0,1067,-1
0.871,2062,0,1067,-1
0.967,2062,0,1067,-1
1.063,2062,0,1067,-1
1.159,2062,0,1068,-1
1.255,2062,0,1067,-1
1.351,2062,0,1067,-1
1.447,2062,0,1067,-1
1.543,2062,0,1067,-1
1.639,2062,0,1067,-1
1.735,2062,0,1067,-1
1.831,2062,0,1068,-1
1.927,2062,0,1067,-1
2.039,2062,0,1067,-1
2.135,2062,0,1067,-1
2.231,2062,0,1067,-1
2.327,2062,0,1067,-1
2.423,2062,0,1067,-1
2.519,2062,0,1067,-1
2.615,2062,0,1067,-1
2.711,2062,0,1067,-1
2.823,2062,0,1067,-1
2.919,2062,0,1067,-1
3.015,2062,0,1067,-1
3.111,2062,0,1068,-1
3.207,2062,0,1067,-1
3.303,2062,0,1067,-1
3.399,2061,0,1067,-1
3.495,2062,0,1067,-1
3.591,2061,0,1067,-1
3.703,2062,0,1068,-1
3.799,2064,0,1066,0
3.895,2062,0,1066,0
3.991,2062,0,1069,-7
4.087,2060,2,1068,-8
4.183,2061,3,1068,-10
4.279,2061,3,1069,-6
4.375,2061,9,1069,-9
4.471,2061,3,1068,-2
4.567,2061,0,1068,-3
4.663,2061,0,1068,-2
4.759,2061,0,1068,-1
4.855,2061,0,1068,-1
4.951,2061,0,1068,-1
5.047,2061,0,1068,-2
5.143,2061,0,1068,-1
5.239,2061,0,1068,-1
5.335,2062,0,1068,-1
5.447,2061,2,1068,-1
5.543,2061,0,1068,-2
5.639,2061,0,1068,-1
5.735,2061,10,1069,-9
5.831,2060,15,1069,-10
5.927,2060,17,1069,-24
6.023,2060,10,1069,-14
6.135,2061,0,1069,-4
6.231,2060,14,1068,-3
6.327,2060,6,1069,-4
6.423,2061,-2,1176,36
6.519,2064,-2,1364,-4
6.615,2063,-1,1376,0
6.711,2062,0,1371,0
6.807,2062,0,1359,0
6.903,2062,0,1350,2
6.999,2062,0,1340,-8
7.095,2062,0,1331,-2
7.191,2061,0,1320,-7
7.287,2061,0,1310,1
7.383,2061,0,1301,1
7.479,2062,0,1290,0
7.575,2061,0,1280,-1
7.671,2061,0,1270,-8
7.767,2061,0,1260,3
7.879,2062,0,1251,2
7.975,2062,0,1241,-8
8.071,2061,0,1231,0
8.167,2061,0,1221,-9
8.263,2061,0,1211,-4
8.359,2062,0,1201,-3
8.455,2061,0,1192,-9
8.551,2061,0,1181,-11
8.647,2061,0,1171,-3
8.743,2061,0,1161,-9
8.839,2061,0,1152,-3
8.935,2061,0,1143,-1
9.031,2061,0,1132,-4
9.127,2061,0,1123,-4
9.223,2061,0,1113,-6
9.319,2061,0,1102,-3
9.415,2061,0,1092,-11
9.511,2061,0,1083,-6
9.607,2061,0,1073,-5
9.703,2061,0,1063,-11
