Time (s),Current (mA),Position
0.0160324,6,148
0.0740293,18,148
0.138092,16,160
0.202038,-53,207
0.266036,-18,265
0.330021,16,257
0.393961,19,227
0.457975,20,236
0.522018,-56,286
0.586026,-20,351
0.650055,12,347
0.714048,17,319
0.778036,19,337
0.842046,-55,392
0.905981,-18,458
0.970017,5,456
1.03396,17,430
1.09797,20,448
1.162,-34,503
1.22597,-18,572
1.28992,5,572
1.35395,19,547
1.41788,19,559
1.48194,-43,607
1.54597,-19,666
1.60988,1,662
1.67386,18,636
1.7379,19,653
1.80187,-19,706
1.86588,-20,767
1.92987,5,763
1.99386,19,737
2.05792,18,753
2.12192,-49,805
2.18594,-19,865
2.24992,6,868
2.31397,17,845
2.37793,19,865
2.44194,-56,920
2.50585,-20,982
2.56996,11,979
2.63387,17,956
2.69785,21,973
2.76186,-42,1025
2.82586,-19,1086
2.88985,6,1088
2.95393,18,1066
